Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Hora,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ganancia de altura,Altura perdida,Longitud media de zancada
trail_running,2018-12-27 14:49:25,false,Maruri y jata,14.76,1015,01:33:55,153,177,162,242,6:22,3:24,681,688,0.97
trail_running,2018-12-19 13:00:06,false,Twin climb,19.91,1429,02:31:04,150,169,122,188,7:35,3:44,1215,1215,1.08
trail_running,2018-12-11 07:42:42,false,Lekeitio,65.31,3660,08:17:25,135,160,134,248,7:37,4:23,2445,2548,0.98
trail_running,2018-12-09 14:53:50,false,Zumetxagas,10.38,692,01:06:58,144,166,164,242,6:27,1:44,310,305,0.95
trail_running,2018-12-06 15:58:33,false,TwinClimb,20.19,1238,02:36:38,141,167,130,186,7:45,3:37,1204,1208,0.99
street_running,2018-12-03 16:12:04,false,Maruri road,10,550,00:45:47,151,164,176,190,4:35,1:10,234,235,1.24
trail_running,2018-12-01 15:11:50,false,Sollube run,22.17,1390,02:12:23,153,169,164,192,5:58,2:57,1001,996,1.02
street_running,2018-11-28 15:09:28,false,Volver de maruri,4.92,322,00:25:00,158,169,178,188,5:05,4:09,--,--,1.11
trail_running,2018-11-28 13:51:34,false,Subir a Jata,10.64,827,01:14:39,154,177,132,216,7:01,3:20,616,679,1.08
trail_running,2018-11-26 16:25:23,false,Subir a jata,11.37,729,01:17:23,145,166,154,242,6:48,4:00,564,569,0.95
trail_running,2018-11-25 14:33:50,false,Zumetxagas,10.08,646,00:54:54,153,184,170,242,5:27,3:38,322,328,1.08
trail_running,2018-11-23 15:30:09,false,Twin climb,19.48,1367,02:20:15,153,174,130,186,7:12,3:58,1120,1123,1.07
trail_running,2018-11-20 18:58:58,false,Jata-Maruri,14.62,933,01:31:15,150,167,162,232,6:14,0:39,682,689,0.99
trail_running,2018-11-17 16:28:53,true,Maruri Jata,15.95,1089,01:31:40,156,167,166,240,5:45,3:25,679,684,1.05
trail_running,2018-11-15 18:53:39,true,twinclimb,20.18,1533,02:26:37,152,173,138,236,7:16,3:28,1212,1217,1
treadmill_running,2018-11-14 16:03:25,false,Carrera en cinta,3.86,336,00:39:52,128,182,166,190,10:20,4:29,--,--,0.58
trail_running,2018-11-10 13:09:48,false,Jata,17.09,1081,01:54:42,150,182,158,216,6:43,4:22,813,816,0.94
trail_running,2018-11-08 18:20:27,false,twinClimb,19.78,1375,02:35:15,148,179,138,176,7:51,3:57,1131,1126,0.92
trail_running,2018-11-06 19:19:32,false,Mungia Carrera,15,971,01:44:12,143,177,160,182,6:57,3:00,698,696,0.9
trail_running,2018-11-05 12:41:07,false,Zumetxagas,10.8,750,01:10:16,148,172,158,182,6:30,3:42,399,402,0.97
trail_running,2018-10-30 16:59:08,false,Jata,15.87,1019,01:56:54,138,170,138,190,7:22,4:33,785,782,0.98
trail_running,2018-10-26 12:44:00,false,Mungia Carrera,23.71,1339,02:37:50,140,180,162,198,6:39,4:53,997,993,0.93
trail_running,2018-10-24 18:02:11,false,zumetxagas,10.08,735,00:57:21,157,183,168,188,5:41,3:23,305,307,1.05
trail_running,2018-10-23 15:37:11,false,Twinclimb,20.11,1494,02:34:19,148,176,124,188,7:40,4:02,1192,1196,1.05
trail_running,2018-10-17 16:55:02,false,Zumetxagas,10.24,594,01:02:58,138,191,164,188,6:09,3:22,316,316,0.99
trail_running,2018-10-12 07:43:58,false,Mungia Carrera,23.58,1649,03:00:11,145,178,128,240,7:39,4:05,1348,1353,1.02
trail_running,2018-10-10 16:17:18,false,Mungia Carrera,12.02,865,01:25:06,147,182,154,196,7:05,3:57,665,668,0.92
