date,tip
2018-03-18,0
2018-04-06,0
2018-04-10,0
2018-04-14,15
2018-04-15,0
2018-04-23,15
2018-04-26,10
2018-04-27,0
2018-04-28,30
2018-04-28,30
2018-04-29,0
2018-04-30,0
2018-05-01,12
2018-05-02,0
2018-05-03,0
2018-05-04,0
2018-05-09,20
2018-05-11,25
2018-05-12,0
2018-05-15,5
2018-05-15,0
2018-05-16,20
2018-05-23,0
2018-05-25,0
2018-05-30,5
2018-06-09,25
2018-06-10,0
2018-06-18,0
2018-06-22,20
2018-06-23,0
2018-06-24,0
2018-07-01,15
2018-07-02,0
2018-07-03,10
2018-07-04,0
2018-07-05,25
2018-07-06,0
2018-07-07,6
2018-07-07,0
2018-07-08,20
2018-07-09,18
2018-07-19,0
2018-07-20,10
2018-08-02,15
2018-08-02,20
2018-08-04,0
2018-08-05,0
2018-08-06,2
2018-08-11,0
2018-08-12,0
2018-08-13,20
2018-08-14,22
2018-08-15,0
2018-08-20,20
2018-08-21,0
2018-08-22,0
2018-08-23,20
2018-08-24,0
2018-09-02,20
2018-09-08,10
2018-09-14,0
2018-09-15,0
2018-09-16,10
2018-09-17,10
2018-09-18,0
2018-09-19,0
2018-09-19,0
2018-09-20,0
2018-09-21,0
2018-09-22,0
2018-09-22,0
2018-09-23,0
2018-09-25,0
2018-09-26,0
2018-09-27,0
2018-09-28,0
2018-09-29,0
2018-09-30,0
2018-10-03,15
2018-10-04,15
2018-10-04,0
2018-10-05,0
2018-10-06,0
2018-10-08,0
2018-10-08,0
2018-10-10,25
2018-10-13,0
2018-10-13,60
2018-10-15,0
2018-10-15,0
2018-10-17,0
2018-10-18,0
2018-10-19,0
2018-10-20,0
2018-10-22,20
2018-10-25,0
2018-10-27,0
2018-10-31,0
2018-11-19,0
2018-11-17,0
2018-11-21,15
2018-12-08,0
2018-12-28,10
2019-02-07,0
